# Sole source of truth for the complete JVM opcode byte space.
# Generated Rust and Markdown must be refreshed with ./generate_opcodes.py.
value	mnemonic	identity	operands	width	control	constant_pool	since	until
0x00	nop	Nop	none	1	fallthrough	none	45.3	unbounded
0x01	aconst_null	AconstNull	none	1	fallthrough	none	45.3	unbounded
0x02	iconst_m1	IconstM1	none	1	fallthrough	none	45.3	unbounded
0x03	iconst_0	Iconst0	none	1	fallthrough	none	45.3	unbounded
0x04	iconst_1	Iconst1	none	1	fallthrough	none	45.3	unbounded
0x05	iconst_2	Iconst2	none	1	fallthrough	none	45.3	unbounded
0x06	iconst_3	Iconst3	none	1	fallthrough	none	45.3	unbounded
0x07	iconst_4	Iconst4	none	1	fallthrough	none	45.3	unbounded
0x08	iconst_5	Iconst5	none	1	fallthrough	none	45.3	unbounded
0x09	lconst_0	Lconst0	none	1	fallthrough	none	45.3	unbounded
0x0a	lconst_1	Lconst1	none	1	fallthrough	none	45.3	unbounded
0x0b	fconst_0	Fconst0	none	1	fallthrough	none	45.3	unbounded
0x0c	fconst_1	Fconst1	none	1	fallthrough	none	45.3	unbounded
0x0d	fconst_2	Fconst2	none	1	fallthrough	none	45.3	unbounded
0x0e	dconst_0	Dconst0	none	1	fallthrough	none	45.3	unbounded
0x0f	dconst_1	Dconst1	none	1	fallthrough	none	45.3	unbounded
0x10	bipush	Bipush	value:s1	2	fallthrough	none	45.3	unbounded
0x11	sipush	Sipush	value:s2	3	fallthrough	none	45.3	unbounded
0x12	ldc	Ldc	constant_pool:u1	2	fallthrough	loadable-category-1	45.3	unbounded
0x13	ldc_w	LdcW	constant_pool:u2	3	fallthrough	loadable-category-1	45.3	unbounded
0x14	ldc2_w	Ldc2W	constant_pool:u2	3	fallthrough	loadable-category-2	45.3	unbounded
0x15	iload	Iload	local:u1	2	fallthrough	none	45.3	unbounded
0x16	lload	Lload	local:u1	2	fallthrough	none	45.3	unbounded
0x17	fload	Fload	local:u1	2	fallthrough	none	45.3	unbounded
0x18	dload	Dload	local:u1	2	fallthrough	none	45.3	unbounded
0x19	aload	Aload	local:u1	2	fallthrough	none	45.3	unbounded
0x1a	iload_0	Iload0	none	1	fallthrough	none	45.3	unbounded
0x1b	iload_1	Iload1	none	1	fallthrough	none	45.3	unbounded
0x1c	iload_2	Iload2	none	1	fallthrough	none	45.3	unbounded
0x1d	iload_3	Iload3	none	1	fallthrough	none	45.3	unbounded
0x1e	lload_0	Lload0	none	1	fallthrough	none	45.3	unbounded
0x1f	lload_1	Lload1	none	1	fallthrough	none	45.3	unbounded
0x20	lload_2	Lload2	none	1	fallthrough	none	45.3	unbounded
0x21	lload_3	Lload3	none	1	fallthrough	none	45.3	unbounded
0x22	fload_0	Fload0	none	1	fallthrough	none	45.3	unbounded
0x23	fload_1	Fload1	none	1	fallthrough	none	45.3	unbounded
0x24	fload_2	Fload2	none	1	fallthrough	none	45.3	unbounded
0x25	fload_3	Fload3	none	1	fallthrough	none	45.3	unbounded
0x26	dload_0	Dload0	none	1	fallthrough	none	45.3	unbounded
0x27	dload_1	Dload1	none	1	fallthrough	none	45.3	unbounded
0x28	dload_2	Dload2	none	1	fallthrough	none	45.3	unbounded
0x29	dload_3	Dload3	none	1	fallthrough	none	45.3	unbounded
0x2a	aload_0	Aload0	none	1	fallthrough	none	45.3	unbounded
0x2b	aload_1	Aload1	none	1	fallthrough	none	45.3	unbounded
0x2c	aload_2	Aload2	none	1	fallthrough	none	45.3	unbounded
0x2d	aload_3	Aload3	none	1	fallthrough	none	45.3	unbounded
0x2e	iaload	Iaload	none	1	fallthrough	none	45.3	unbounded
0x2f	laload	Laload	none	1	fallthrough	none	45.3	unbounded
0x30	faload	Faload	none	1	fallthrough	none	45.3	unbounded
0x31	daload	Daload	none	1	fallthrough	none	45.3	unbounded
0x32	aaload	Aaload	none	1	fallthrough	none	45.3	unbounded
0x33	baload	Baload	none	1	fallthrough	none	45.3	unbounded
0x34	caload	Caload	none	1	fallthrough	none	45.3	unbounded
0x35	saload	Saload	none	1	fallthrough	none	45.3	unbounded
0x36	istore	Istore	local:u1	2	fallthrough	none	45.3	unbounded
0x37	lstore	Lstore	local:u1	2	fallthrough	none	45.3	unbounded
0x38	fstore	Fstore	local:u1	2	fallthrough	none	45.3	unbounded
0x39	dstore	Dstore	local:u1	2	fallthrough	none	45.3	unbounded
0x3a	astore	Astore	local:u1	2	fallthrough	none	45.3	unbounded
0x3b	istore_0	Istore0	none	1	fallthrough	none	45.3	unbounded
0x3c	istore_1	Istore1	none	1	fallthrough	none	45.3	unbounded
0x3d	istore_2	Istore2	none	1	fallthrough	none	45.3	unbounded
0x3e	istore_3	Istore3	none	1	fallthrough	none	45.3	unbounded
0x3f	lstore_0	Lstore0	none	1	fallthrough	none	45.3	unbounded
0x40	lstore_1	Lstore1	none	1	fallthrough	none	45.3	unbounded
0x41	lstore_2	Lstore2	none	1	fallthrough	none	45.3	unbounded
0x42	lstore_3	Lstore3	none	1	fallthrough	none	45.3	unbounded
0x43	fstore_0	Fstore0	none	1	fallthrough	none	45.3	unbounded
0x44	fstore_1	Fstore1	none	1	fallthrough	none	45.3	unbounded
0x45	fstore_2	Fstore2	none	1	fallthrough	none	45.3	unbounded
0x46	fstore_3	Fstore3	none	1	fallthrough	none	45.3	unbounded
0x47	dstore_0	Dstore0	none	1	fallthrough	none	45.3	unbounded
0x48	dstore_1	Dstore1	none	1	fallthrough	none	45.3	unbounded
0x49	dstore_2	Dstore2	none	1	fallthrough	none	45.3	unbounded
0x4a	dstore_3	Dstore3	none	1	fallthrough	none	45.3	unbounded
0x4b	astore_0	Astore0	none	1	fallthrough	none	45.3	unbounded
0x4c	astore_1	Astore1	none	1	fallthrough	none	45.3	unbounded
0x4d	astore_2	Astore2	none	1	fallthrough	none	45.3	unbounded
0x4e	astore_3	Astore3	none	1	fallthrough	none	45.3	unbounded
0x4f	iastore	Iastore	none	1	fallthrough	none	45.3	unbounded
0x50	lastore	Lastore	none	1	fallthrough	none	45.3	unbounded
0x51	fastore	Fastore	none	1	fallthrough	none	45.3	unbounded
0x52	dastore	Dastore	none	1	fallthrough	none	45.3	unbounded
0x53	aastore	Aastore	none	1	fallthrough	none	45.3	unbounded
0x54	bastore	Bastore	none	1	fallthrough	none	45.3	unbounded
0x55	castore	Castore	none	1	fallthrough	none	45.3	unbounded
0x56	sastore	Sastore	none	1	fallthrough	none	45.3	unbounded
0x57	pop	Pop	none	1	fallthrough	none	45.3	unbounded
0x58	pop2	Pop2	none	1	fallthrough	none	45.3	unbounded
0x59	dup	Dup	none	1	fallthrough	none	45.3	unbounded
0x5a	dup_x1	DupX1	none	1	fallthrough	none	45.3	unbounded
0x5b	dup_x2	DupX2	none	1	fallthrough	none	45.3	unbounded
0x5c	dup2	Dup2	none	1	fallthrough	none	45.3	unbounded
0x5d	dup2_x1	Dup2X1	none	1	fallthrough	none	45.3	unbounded
0x5e	dup2_x2	Dup2X2	none	1	fallthrough	none	45.3	unbounded
0x5f	swap	Swap	none	1	fallthrough	none	45.3	unbounded
0x60	iadd	Iadd	none	1	fallthrough	none	45.3	unbounded
0x61	ladd	Ladd	none	1	fallthrough	none	45.3	unbounded
0x62	fadd	Fadd	none	1	fallthrough	none	45.3	unbounded
0x63	dadd	Dadd	none	1	fallthrough	none	45.3	unbounded
0x64	isub	Isub	none	1	fallthrough	none	45.3	unbounded
0x65	lsub	Lsub	none	1	fallthrough	none	45.3	unbounded
0x66	fsub	Fsub	none	1	fallthrough	none	45.3	unbounded
0x67	dsub	Dsub	none	1	fallthrough	none	45.3	unbounded
0x68	imul	Imul	none	1	fallthrough	none	45.3	unbounded
0x69	lmul	Lmul	none	1	fallthrough	none	45.3	unbounded
0x6a	fmul	Fmul	none	1	fallthrough	none	45.3	unbounded
0x6b	dmul	Dmul	none	1	fallthrough	none	45.3	unbounded
0x6c	idiv	Idiv	none	1	fallthrough	none	45.3	unbounded
0x6d	ldiv	Ldiv	none	1	fallthrough	none	45.3	unbounded
0x6e	fdiv	Fdiv	none	1	fallthrough	none	45.3	unbounded
0x6f	ddiv	Ddiv	none	1	fallthrough	none	45.3	unbounded
0x70	irem	Irem	none	1	fallthrough	none	45.3	unbounded
0x71	lrem	Lrem	none	1	fallthrough	none	45.3	unbounded
0x72	frem	Frem	none	1	fallthrough	none	45.3	unbounded
0x73	drem	Drem	none	1	fallthrough	none	45.3	unbounded
0x74	ineg	Ineg	none	1	fallthrough	none	45.3	unbounded
0x75	lneg	Lneg	none	1	fallthrough	none	45.3	unbounded
0x76	fneg	Fneg	none	1	fallthrough	none	45.3	unbounded
0x77	dneg	Dneg	none	1	fallthrough	none	45.3	unbounded
0x78	ishl	Ishl	none	1	fallthrough	none	45.3	unbounded
0x79	lshl	Lshl	none	1	fallthrough	none	45.3	unbounded
0x7a	ishr	Ishr	none	1	fallthrough	none	45.3	unbounded
0x7b	lshr	Lshr	none	1	fallthrough	none	45.3	unbounded
0x7c	iushr	Iushr	none	1	fallthrough	none	45.3	unbounded
0x7d	lushr	Lushr	none	1	fallthrough	none	45.3	unbounded
0x7e	iand	Iand	none	1	fallthrough	none	45.3	unbounded
0x7f	land	Land	none	1	fallthrough	none	45.3	unbounded
0x80	ior	Ior	none	1	fallthrough	none	45.3	unbounded
0x81	lor	Lor	none	1	fallthrough	none	45.3	unbounded
0x82	ixor	Ixor	none	1	fallthrough	none	45.3	unbounded
0x83	lxor	Lxor	none	1	fallthrough	none	45.3	unbounded
0x84	iinc	Iinc	local:u1,increment:s1	3	fallthrough	none	45.3	unbounded
0x85	i2l	I2l	none	1	fallthrough	none	45.3	unbounded
0x86	i2f	I2f	none	1	fallthrough	none	45.3	unbounded
